zona,estado_pob,area_f,sexo_jefe,edad_tramo,quintil,expr,n
Norte Grande,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),II,841.0,16
Norte Grande,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),III,632.0,12
Norte Grande,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),IV,259.0,5
Norte Grande,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),I,1431.0,39
Norte Grande,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),II,1971.0,51
Norte Grande,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),III,1461.0,44
Norte Grande,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),IV,383.0,11
Norte Grande,Pobreza por ingresos,Rural,Hombre,Adulto (30-59),I,508.0,13
Norte Grande,Pobreza por ingresos,Rural,Hombre,Adulto (30-59),II,176.0,7
Norte Grande,Pobreza por ingresos,Rural,Hombre,Joven (≤29),I,37.0,2
Norte Grande,Pobreza por ingresos,Rural,Hombre,Mayor (60+),I,330.0,18
Norte Grande,Pobreza por ingresos,Rural,Hombre,Mayor (60+),II,132.0,5
Norte Grande,Pobreza por ingresos,Rural,Mujer,Adulto (30-59),I,1063.0,30
Norte Grande,Pobreza por ingresos,Rural,Mujer,Adulto (30-59),II,793.0,14
Norte Grande,Pobreza por ingresos,Rural,Mujer,Joven (≤29),I,468.0,8
Norte Grande,Pobreza por ingresos,Rural,Mujer,Joven (≤29),II,26.0,2
Norte Grande,Pobreza por ingresos,Rural,Mujer,Mayor (60+),I,122.0,7
Norte Grande,Pobreza por ingresos,Rural,Mujer,Mayor (60+),II,74.0,2
Norte Grande,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),I,6232.0,119
Norte Grande,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),II,4794.0,77
Norte Grande,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),III,352.0,6
Norte Grande,Pobreza por ingresos,Urbano,Hombre,Joven (≤29),I,1342.0,22
Norte Grande,Pobreza por ingresos,Urbano,Hombre,Joven (≤29),II,800.0,18
Norte Grande,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),I,4526.0,108
Norte Grande,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),II,722.0,13
Norte Grande,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),III,64.0,2
Norte Grande,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),I,13135.0,319
Norte Grande,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),II,6202.0,133
Norte Grande,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),III,157.0,5
Norte Grande,Pobreza por ingresos,Urbano,Mujer,Joven (≤29),I,3265.0,50
Norte Grande,Pobreza por ingresos,Urbano,Mujer,Joven (≤29),II,1393.0,22
Norte Grande,Pobreza por ingresos,Urbano,Mujer,Joven (≤29),III,70.0,3
Norte Grande,Pobreza por ingresos,Urbano,Mujer,Mayor (60+),I,5382.0,161
Norte Grande,Pobreza por ingresos,Urbano,Mujer,Mayor (60+),II,719.0,26
Norte Grande,Pobreza por ingresos,Urbano,Mujer,Mayor (60+),III,28.0,1
Zona Austral,Pobreza ingresos y multidim.,Rural,Hombre,Adulto (30-59),I,109.0,4
Zona Austral,Pobreza ingresos y multidim.,Rural,Hombre,Mayor (60+),I,27.0,2
Zona Austral,Pobreza ingresos y multidim.,Rural,Mujer,Adulto (30-59),I,79.0,3
Zona Austral,Pobreza ingresos y multidim.,Rural,Mujer,Adulto (30-59),II,9.0,1
Zona Austral,Pobreza ingresos y multidim.,Rural,Mujer,Mayor (60+),I,54.0,3
Zona Austral,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),I,351.0,9
Zona Austral,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),II,270.0,5
Zona Austral,Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),II,68.0,2
Zona Austral,Pobreza ingresos y multidim.,Urbano,Hombre,Mayor (60+),I,168.0,5
Zona Austral,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),I,742.0,28
Zona Austral,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),II,79.0,3
Zona Austral,Pobreza ingresos y multidim.,Urbano,Mujer,Joven (≤29),I,96.0,3
Zona Austral,Pobreza ingresos y multidim.,Urbano,Mujer,Joven (≤29),II,71.0,2
Zona Austral,Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),I,151.0,6
Zona Austral,Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),II,19.0,1
Zona Austral,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),II,15.0,1
Zona Austral,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),III,54.0,3
Zona Austral,Pobreza multidimensional,Rural,Hombre,Mayor (60+),I,25.0,2
Zona Austral,Pobreza multidimensional,Rural,Hombre,Mayor (60+),II,46.0,3
